Name, Address, Failed inspection on, Alive for x years
BUBBLE NET,1200 S LAKE SHORE DR ,2010-09-17T00:00:00.000,9
THIRD RAIL TAVERN,1133 W MADISON ST ,2010-09-17T00:00:00.000,8
DRAGONFLY MANDARIN,832 W RANDOLPH ST ,2010-09-20T00:00:00.000,4
FRESHII,200 W MONROE ST ,2010-09-21T00:00:00.000,9
INTELLIGENTSIA COFFEE & TEA INC.,53 W JACKSON BLVD ,2010-09-22T00:00:00.000,8
THE EVEREST ROOM,440 S LA SALLE ST ,2010-09-23T00:00:00.000,9
THE GREEN AT GRANT PARK,352 E MONROE DR ,2010-09-23T00:00:00.000,2
GRILLER'S,77 W JACKSON BLVD ,2010-09-27T00:00:00.000,6
STOCKS & BLONDES BAR & GRILLE,40 N WELLS ST ,2010-09-27T00:00:00.000,8
THE GREAT STEAK & POTATO CO.,77 W JACKSON BLVD ,2010-09-28T00:00:00.000,0
CAFFE BACI,10 S RIVERSIDE PLZ ,2010-09-28T00:00:00.000,8
LUKE'S,215 W JACKSON BLVD ,2010-09-29T00:00:00.000,8
MARBLE SLAB CREAMERY,1241 S MICHIGAN AVE ,2010-09-29T00:00:00.000,2
MIXED GREEN,223 W LAKE ST ,2010-10-01T00:00:00.000,6
Jaks Tap,901 W JACKSON BLVD ,2010-10-04T00:00:00.000,8
THE STANDARD CLUB,320 S PLYMOUTH CT ,2010-10-04T00:00:00.000,10
7 - ELEVEN,343 S DEARBORN ST ,2010-10-04T00:00:00.000,10
MISTA PIZZA,134 N LA SALLE ST ,2010-10-04T00:00:00.000,2
AL'S BEEF,28-32 E JACKSON BLVD ,2010-10-05T00:00:00.000,8
THE INDIA GRILL,1112 S WABASH AVE ,2010-10-06T00:00:00.000,0
THE GREAT STEAK & POTATO CO.,77 W JACKSON BLVD ,2010-10-06T00:00:00.000,0
CARIBOU COFFEE COMPANY INC.,1328 S HALSTED ST ,2010-10-06T00:00:00.000,6
KOREAN SEOUL FOOD,560 W VAN BUREN ST ,2010-10-06T00:00:00.000,2
HYATT REGENCY CHICAGO-J'S DELI,151 E WACKER DR ,2010-10-06T00:00:00.000,4
JW MARRIOTT HOTEL CHICAGO,151 W ADAMS ST ,2010-10-07T00:00:00.000,9
VALEO,151 W ADAMS ST ,2010-10-07T00:00:00.000,6
VENUS CYPRIOT CUISINE,820 W JACKSON BLVD ,2010-10-07T00:00:00.000,2
JW MARRIOTT HOTEL CHICAGO,151 W ADAMS ST ,2010-10-07T00:00:00.000,9
THE FLORENTINE,151 W ADAMS ST ,2010-10-07T00:00:00.000,10
BABA PITA,1032 W LAKE ST ,2010-10-08T00:00:00.000,6
KENMARE CATERING AND EVENTS,112 S MICHIGAN AVE ,2010-10-08T00:00:00.000,6
FRENCH PASTRY SCHOOL INC,226 W JACKSON BLVD ,2010-10-13T00:00:00.000,8
GIOCO,1312 -1314 S WABASH AVE ,2010-10-14T00:00:00.000,8
SUBWAY,1501 W MADISON ST ,2010-10-14T00:00:00.000,10
THE FLORENTINE,151 W ADAMS ST ,2010-10-15T00:00:00.000,10
NINE,440 W RANDOLPH ST ,2010-10-15T00:00:00.000,4
JW MARRIOTT HOTEL CHICAGO,151 W ADAMS ST ,2010-10-15T00:00:00.000,9
ZEUS GYROS INC,806 W JACKSON BLVD ,2010-10-15T00:00:00.000,8
PEREZ MEXICAN FOOD,853-855 W RANDOLPH ST ,2010-10-18T00:00:00.000,8
MCDONALDS,119 N WABASH AVE ,2010-10-18T00:00:00.000,4
ARGO TEA,140 S DEARBORN ST ,2010-10-20T00:00:00.000,10
ALHAMBRA PALACE RESTAURANT,1240 W RANDOLPH ST ,2010-10-21T00:00:00.000,8
BLUE PLATE CATERING LTD.,1061 W VAN BUREN ST ,2010-10-22T00:00:00.000,10
BURNHAM PARK YACHT CLUB,1500 S LYNN WHITE DR ,2010-10-25T00:00:00.000,8
WING STOP,12 E HARRISON ST ,2010-10-25T00:00:00.000,6
PERRY'S DELI,174 N FRANKLIN ST ,2010-10-25T00:00:00.000,6
URBAN KITCHEN,100 S WACKER DR ,2010-10-28T00:00:00.000,2
STANLEY'S ON RACINE,324 S RACINE AVE ,2010-10-28T00:00:00.000,2
MCDONALD'S RESTAURANTS,144 S WABASH AVE ,2010-10-29T00:00:00.000,8
LAVAZZA,33 N DEARBORN ST ,2010-11-01T00:00:00.000,8
ALONTI DELI,401 S LA SALLE ST ,2010-11-01T00:00:00.000,8
PRIME BAR,155 N WACKER DR ,2010-11-01T00:00:00.000,8
GATEWAY NEWS STAND,312 S STATE ST ,2010-11-01T00:00:00.000,9
FAST FOO'S,28 E JACKSON BLVD ,2010-11-01T00:00:00.000,4
7 ELEVEN #33582B,58 E LAKE ST ,2010-11-02T00:00:00.000,8
BINITA'S,332 S MICHIGAN AVE ,2010-11-02T00:00:00.000,4
7 ELEVEN #33582B,58 E LAKE ST ,2010-11-02T00:00:00.000,8
NEWS STAND,127 N DEARBORN ST ,2010-11-05T00:00:00.000,5
LIFESTYLES TUCK SHOP,127 N DEARBORN ST ,2010-11-05T00:00:00.000,6
ASIAN CHAO & VILLA ITALIAN,18 W JACKSON BLVD ,2010-11-08T00:00:00.000,2
GATEWAY NEWS STAND,312 S STATE ST ,2010-11-08T00:00:00.000,9
LIFESTYLES TUCK SHOP,127 N DEARBORN ST ,2010-11-10T00:00:00.000,6
HALSTED STREET DELI,222 N LA SALLE ST ,2010-11-12T00:00:00.000,9
LIFESTYLES TUCK SHOP,127 N DEARBORN ST ,2010-11-15T00:00:00.000,6
VALEO,151 W ADAMS ST ,2010-11-15T00:00:00.000,6
POTBELLY SANDWICH WORKS LLC,542 S Dearborn ST ,2010-11-18T00:00:00.000,9
TOMATO HEAD,945 W RANDOLPH ST ,2010-11-18T00:00:00.000,2
SALATINO'S,624-626 S RACINE AVE ,2010-11-18T00:00:00.000,4
AMARIT RESTAURANT,600 S DEARBORN ST ,2010-11-18T00:00:00.000,9
GRAND FOOD MART,400 E RANDOLPH ST ,2010-11-19T00:00:00.000,0
CHICAGO CURRY HOUSE,899 S PLYMOUTH CT ,2010-11-19T00:00:00.000,8
JAYS ON TAYLOR,1421 W TAYLOR ,2010-11-19T00:00:00.000,2
BLACKSTONE HOTEL,636 S MICHIGAN AVE ,2010-11-19T00:00:00.000,8
MANHATTAN'S ON DEARBORN,415 S DEARBORN ST ,2010-11-24T00:00:00.000,6
HALSTED STREET DELI,222 N LA SALLE ST ,2010-11-24T00:00:00.000,9
HOULIHAN'S,111 E WACKER DR ,2010-11-26T00:00:00.000,6
HOTEL BURNHAM/ATWOOD CAFE,1 W WASHINGTON ST ,2010-11-29T00:00:00.000,2
WHICH WICH,108 N STATE ST ,2010-11-29T00:00:00.000,9
VALEO,151 W ADAMS ST ,2010-11-30T00:00:00.000,6
FRENCH ACCENT,233 S WACKER DR ,2010-11-30T00:00:00.000,6
FRENCH ACCENT,233 S WACKER DR ,2010-11-30T00:00:00.000,6
MED KITCHEN,219 W WASHINGTON ST ,2010-12-01T00:00:00.000,9
CURRENTS ON THE RIVER,200 S WACKER DR ,2010-12-02T00:00:00.000,3
GATEWAY NEWSTAND,1 N LA SALLE ST ,2010-12-02T00:00:00.000,10
CVS/PHARMACY #2934,208 W WASHINGTON ST ,2010-12-02T00:00:00.000,10
CURRENTS ON THE RIVER,200 S WACKER DR ,2010-12-02T00:00:00.000,3
EINSTEIN BROS. BAGELS,75 E LAKE ST ,2010-12-03T00:00:00.000,4
OASIS CAFE #2,405 S WELLS ST ,2010-12-04T00:00:00.000,2
Eurest Dining Services @ Credit Suisse Chicago,227 W MONROE ST ,2010-12-06T00:00:00.000,6
QUITE FRANKLY LTD,1300 S CLINTON ST ,2010-12-06T00:00:00.000,-1
MED KITCHEN,219 W WASHINGTON ST ,2010-12-07T00:00:00.000,9
SBARRO,333 S STATE ST ,2010-12-08T00:00:00.000,10
THE GREAT STATE FARE,100 W RANDOLPH ST ,2010-12-14T00:00:00.000,5
CONFECTION CONNECTION TOO,316 S DEARBORN ST ,2010-12-17T00:00:00.000,3
SYED' STORE,180 N WABASH AVE ,2010-12-27T00:00:00.000,6
TRAVEL TRADERS #523,323 E WACKER DR ,2010-12-28T00:00:00.000,3
JERSEY MIKE'S,200 W MONROE ST ,2010-12-30T00:00:00.000,7
CORNER BAKERY CAFE,188 W WASHINGTON ST ,2011-01-06T00:00:00.000,7
GATEWAY NEWS STAND,233 S WACKER DR ,2011-01-06T00:00:00.000,8
FAST FOO'S,28 E JACKSON BLVD ,2011-01-10T00:00:00.000,3
SBARRO,233 N MICHIGAN AVE ,2011-01-10T00:00:00.000,9
DUNKIN DONUTS,333 S STATE ST ,2011-01-10T00:00:00.000,9
THE GRILLROOM,33 W MONROE ST ,2011-01-12T00:00:00.000,9
KHYBER PASS,233 E WACKER DR ,2011-01-12T00:00:00.000,4
SUSHI SAI,123 N WACKER DR ,2011-01-13T00:00:00.000,7
SUBWAY SANDWICHES,1000 W WASHINGTON BLVD ,2011-01-14T00:00:00.000,7
SILK ROAD JACKSON CORPORATION,216 W JACKSON BLVD ,2011-01-20T00:00:00.000,1
SWEET FACTORY,100 W RANDOLPH ST ,2011-01-20T00:00:00.000,2
LUKE'S,215 W JACKSON BLVD ,2011-01-25T00:00:00.000,7
UNDER THE EL,223 W LAKE ST ,2011-02-01T00:00:00.000,4
KOREAN SEOUL FOOD,560 W VAN BUREN ST ,2011-02-07T00:00:00.000,1
TAYLOR TOTS CHILD DEVELOPMENT,1417 W TAYLOR ST ,2011-02-08T00:00:00.000,1
TACO FRESCO,151 E Randolph ST ,2011-02-09T00:00:00.000,7
I DREAM OF FALAFEL,112 W MONROE ST ,2011-02-15T00:00:00.000,9
HALO ASIAN MIX,29 E ADAMS ST ,2011-02-16T00:00:00.000,4
Chicago Concessions Palace, Inc.,151 W RANDOLPH ST ,2011-02-17T00:00:00.000,7
J.D.Y., INC.,370 N CARPENTER ST ,2011-02-23T00:00:00.000,2
KINGDOM FARMS,370 N CARPENTER ST ,2011-02-23T00:00:00.000,3
PLYMOUTH RESTAURANT,327 S PLYMOUTH CT ,2011-02-28T00:00:00.000,9
TATSU,1062 W TAYLOR ST ,2011-03-03T00:00:00.000,5
THE LITTLE GREEN TREEHOUSE,118-130 S ASHLAND AVE ,2011-03-15T00:00:00.000,7
MAXIM'S RESTAURANT INC,20 N CLARK ST ,2011-03-16T00:00:00.000,7
MCDONALD'S RESTAURANTS,144 S WABASH AVE ,2011-03-21T00:00:00.000,7
FLAVOR 180,1511 S STATE ST ,2011-03-22T00:00:00.000,4
FLAVOR 180,1511 S STATE ST ,2011-03-22T00:00:00.000,4
PLAY 18,17 N WABASH AVE ,2011-03-31T00:00:00.000,8
AU BON PAIN,200 W ADAMS ST ,2011-04-04T00:00:00.000,7
ALHAMBRA PALACE RESTAURANT,1240 W RANDOLPH ST ,2011-04-04T00:00:00.000,7
CARLYN BERGHOFF CATERING, INC.,17 W ADAMS ST ,2011-04-04T00:00:00.000,6
VISTA CAFE,233 N MICHIGAN AVE ,2011-04-04T00:00:00.000,7
TOKYO LUNCH BOXES & CATERING,100 W RANDOLPH ST ,2011-04-05T00:00:00.000,7
