Name, Address, Failed inspection on, Alive for x years
BONIVINO'S INC,109 - 111 W VAN BUREN ST ,2013-07-19T00:00:00.000,5
NATIVE FOODS CAFE,218 S CLARK ST ,2013-07-22T00:00:00.000,7
SOPRAFFINA,10 N DEARBORN ST ,2013-07-23T00:00:00.000,7
CORNER BAKERY CAFE,224 S MICHIGAN AVE ,2013-07-26T00:00:00.000,5
GREEN MONKEY INC.,1325 S STATE ST ,2013-07-29T00:00:00.000,5
Yang,28 E ROOSEVELT RD ,2013-08-01T00:00:00.000,1
CARIBOU COFFE CO. INC.,20 N MICHIGAN AVE ,2013-08-02T00:00:00.000,3
BASKIN ROBBINS,1231 S WABASH AVE ,2013-08-02T00:00:00.000,7
MAC KELLY'S,216 W JACKSON BLVD ,2013-08-06T00:00:00.000,5
PRET A MANGER,225 N MICHIGAN AVE FL ,2013-08-06T00:00:00.000,5
JASON'S DELI,195 N DEARBORN ST FL ,2013-08-06T00:00:00.000,5
JOY YEE NOODLE,1335 S HALSTED ST ,2013-08-08T00:00:00.000,5
PAULYS PIZZARIA,719 S STATE ST ,2013-08-09T00:00:00.000,5
THAI SPOON,601 S WABASH AVE ,2013-08-09T00:00:00.000,2
HOTEL BURNHAM / ATWOOD CAFE,1 W WASHINGTON ST ,2013-08-09T00:00:00.000,5
CHIPOTLE MEXICAN GRILL,316 N MICHIGAN AVE ,2013-08-12T00:00:00.000,6
TOAST IT,201 N CLARK ST ,2013-08-13T00:00:00.000,1
BAR LOUIE,47 W POLK ST ,2013-08-13T00:00:00.000,6
ZAPATISTA,1307 S WABASH AVE ,2013-08-15T00:00:00.000,3
FIRST DRAFT,649 S CLARK ST ,2013-08-15T00:00:00.000,5
COURTWAY RESTAURANT, L.L.C.,29 S LA SALLE ST ,2013-08-15T00:00:00.000,1
FIRST DRAFT,649 S CLARK ST ,2013-08-15T00:00:00.000,5
THE WORKS OFF VAN BUREN,335 S FRANKLIN ST ,2013-08-23T00:00:00.000,2
THE STANDARD CLUB,320 S PLYMOUTH CT ,2013-08-26T00:00:00.000,7
SUBWAY SANDWICH,630 S CLARK ST ,2013-08-27T00:00:00.000,6
TOPPERS PIZZA,727 S STATE ST ,2013-08-29T00:00:00.000,3
TAMARIND,614 S WABASH AVE ,2013-08-29T00:00:00.000,5
BODEGA TO GO,201 N CLARK ST ,2013-09-05T00:00:00.000,2
PEREZ MEXICAN FOOD,853-855 W RANDOLPH ST ,2013-09-09T00:00:00.000,5
FFT AT SABW, LLC,1 S DEARBORN ST ,2013-09-11T00:00:00.000,7
J & J FISH,26 E ADAMS ST ,2013-09-16T00:00:00.000,7
LOU MALNATI'S PIZZERIA,805-811 S STATE ST BLDG ,2013-09-17T00:00:00.000,7
ARAMARK-FIELD MUSEUM,1400 S LAKE SHORE DR ,2013-09-17T00:00:00.000,6
VENUE ONE, LLC,1034 W RANDOLPH ST ,2013-09-17T00:00:00.000,5
7-ELEVEN,318 W ADAMS ST ,2013-09-17T00:00:00.000,7
DUNKIN DONUTS,105 W MADISON ST ,2013-09-19T00:00:00.000,7
LA SIRENA CLANDESTINA,954 W FULTON MARKET ,2013-09-23T00:00:00.000,5
CORNER BAKERY CAFE,360 N MICHIGAN AVE ,2013-09-24T00:00:00.000,5
CORNER BAKERY CAFE,360 N MICHIGAN AVE ,2013-09-24T00:00:00.000,5
GREYHOUND LINES INC,630 W HARRISON ST ,2013-09-25T00:00:00.000,5
EPIC BURGER,517 S STATE ST ,2013-09-25T00:00:00.000,5
THE HAPPY CRAB,810 W JACKSON BLVD ,2013-09-26T00:00:00.000,4
CORNER BAKERY CAFE,35 E MONROE ST ,2013-09-26T00:00:00.000,5
THE HAPPY CRAB,810 W JACKSON BLVD ,2013-09-26T00:00:00.000,4
CHIPOTLE MEXICAN GRILL,8 E MADISON ST ,2013-09-27T00:00:00.000,6
URBAN MARKET,10 S DEARBORN ST FL ,2013-09-30T00:00:00.000,7
PITA EXPRESS,100 W RANDOLPH ST ,2013-10-03T00:00:00.000,5
PITA EXPRESS,100 W RANDOLPH ST ,2013-10-08T00:00:00.000,5
K-KITCHEN,201 N CLARK ST ,2013-10-08T00:00:00.000,2
WHOLE FOODS MARKET,1101 S CANAL ST ,2013-10-08T00:00:00.000,6
MILLENNIUM DOGS,151 E Randolph ST ,2013-10-11T00:00:00.000,3
JIMMY JOHN'S,200 E RANDOLPH ST ,2013-10-11T00:00:00.000,6
MEZE,205-209 N Peoria ST ,2013-10-15T00:00:00.000,-1
BRIAN'S JUICE BAR & DELI.,80 E LAKE ST ,2013-10-16T00:00:00.000,1
DEPAUL UNIVERSITY LOOP CAMPUS BOOKSTORE #085,1 E JACKSON BLVD ,2013-10-17T00:00:00.000,6
THE MID-AMERICA CLUB,200 E RANDOLPH ST ,2013-10-18T00:00:00.000,5
HAUTE SAUSAGE,335 S FRANKLIN ST ,2013-10-18T00:00:00.000,2
POMPEI BAKERY,1531 W TAYLOR ST ,2013-10-18T00:00:00.000,5
GREEN APPLE CAFE & JUICE BAR,200 E RANDOLPH ST ,2013-10-21T00:00:00.000,5
Jaks Tap,901 W JACKSON BLVD ,2013-10-21T00:00:00.000,5
HOULIHAN'S,111 E WACKER DR ,2013-10-21T00:00:00.000,3
CHIPOTLE,1132 S CLINTON ST ,2013-10-22T00:00:00.000,6
TETE CHARCUTERIE,1114 W RANDOLPH ST ,2013-10-22T00:00:00.000,3
CHIPOTLE,1132 S CLINTON ST ,2013-10-22T00:00:00.000,6
MARKET CREATIONS,130 E RANDOLPH ST ,2013-10-22T00:00:00.000,7
DUNKIN DONUTS,71 E MONROE ST ,2013-10-22T00:00:00.000,7
TETE CHARCUTERIE,1114 W RANDOLPH ST ,2013-10-22T00:00:00.000,3
DEPASADA RESTAURANT,1517 W TAYLOR ST ,2013-10-22T00:00:00.000,5
CARMICHAEL'S CHICAGO STEAK HSE,1052 W MONROE ST ,2013-10-23T00:00:00.000,3
FRIENDSHIP ON THE LAKE,200 N LAKEFRONT DR ,2013-10-24T00:00:00.000,3
POLK STREET CO.,548 W POLK ST ,2013-10-24T00:00:00.000,5
MCDONALD'S RESTAURANTS,144 S WABASH AVE ,2013-10-24T00:00:00.000,5
COSI,233 N MICHIGAN AVE ,2013-10-24T00:00:00.000,5
DEPAUL UNIVERSITY LOOP CAMPUS BOOKSTORE #085,1 E JACKSON BLVD ,2013-10-25T00:00:00.000,6
BOTTOM LOUNGE,1375 W LAKE ST ,2013-10-25T00:00:00.000,7
DEPAUL UNIVERSITY LOOP CAMPUS BOOKSTORE #085,1 E JACKSON BLVD ,2013-10-25T00:00:00.000,6
DUNKIN DONUTS BASKIN ROBBINS,229 W JACKSON BLVD ,2013-10-28T00:00:00.000,7
VERA,1023 W LAKE ST ,2013-10-28T00:00:00.000,5
TAVERN AT THE PARK,130 E RANDOLPH ST ,2013-10-30T00:00:00.000,5
MORGAN'S BAR AND GRILL,1325 S HALSTED ST ,2013-10-30T00:00:00.000,3
JEWEL FOOD  STORE # 3345,1224 S WABASH AVE ,2013-10-30T00:00:00.000,7
THE JUNCTION CHICAGO,225 S CANAL ST ,2013-10-31T00:00:00.000,5
THE JUNCTION CHICAGO,225 S CANAL ST ,2013-10-31T00:00:00.000,5
THE BAR 10 DOORS,1251-1259 W TAYLOR ST ,2013-10-31T00:00:00.000,7
DUNKIN DONUTS,310 S CANAL ST ,2013-11-06T00:00:00.000,7
WHICH WICH,108 N STATE ST ,2013-11-14T00:00:00.000,6
DUNKIN DONUTS & BASKIN ROBBINS,200 W RANDOLPH ST BLDG ,2013-11-15T00:00:00.000,7
STARBUCKS COFFEE #233,231 S LA SALLE ST ,2013-11-18T00:00:00.000,6
DUNKIN DONUTS,166 W WASHINGTON ST ,2013-11-18T00:00:00.000,7
DUNKIN DONUTS,27 W LAKE ST ,2013-11-19T00:00:00.000,7
PROTEIN BAR,235 S FRANKLIN ST ,2013-11-21T00:00:00.000,7
DUNKIN DONUTS & BASKIN ROBBINS,200 W RANDOLPH ST BLDG ,2013-11-25T00:00:00.000,7
HABANERO BAJA GRILL,2 N RIVERSIDE PLZ ,2013-12-02T00:00:00.000,6
HABANERO BAJA GRILL,2 N RIVERSIDE PLZ ,2013-12-03T00:00:00.000,6
CARIBOU COFFEE COMPANY INC.,1328 S HALSTED ST ,2013-12-04T00:00:00.000,3
Chartwells @ DePaul University,1 E JACKSON BLVD ,2013-12-05T00:00:00.000,7
AMERICA'S DOG,22 E RANDOLPH ST ,2013-12-09T00:00:00.000,5
DUNKIN DONUTS BASKIN ROBBINS,600 S WABASH AVE ,2013-12-10T00:00:00.000,7
BENNIGAN'S #1426,150 S MICHIGAN AVE ,2013-12-10T00:00:00.000,1
ERIK'S DELI,333 S State ST ,2013-12-12T00:00:00.000,5
PANERA BREAD #1004,525 S STATE ST ,2013-12-13T00:00:00.000,6
TOWER MARKET AND GRILL,216 W JACKSON BLVD ,2013-12-17T00:00:00.000,3
TARGET STORE T2781,1101 W JACKSON BLVD ,2013-12-17T00:00:00.000,7
WAFFLES,1400 S MICHIGAN AVE ,2013-12-19T00:00:00.000,7
I DREAM OF FALAFEL,112 W MONROE ST ,2013-12-20T00:00:00.000,7
WAFFLES,1400 S MICHIGAN AVE ,2013-12-20T00:00:00.000,7
KIDS + COMPANY CHICAGO,1313 W RANDOLPH ,2014-01-07T00:00:00.000,6
WOLVERINE TRADING LLC,175 W JACKSON BLVD ,2014-01-09T00:00:00.000,6
SUBWAY SANDWICHES,1000 W WASHINGTON BLVD ,2014-01-10T00:00:00.000,4
TOWER MARKET AND GRILL,216 W JACKSON BLVD ,2014-01-13T00:00:00.000,2
ARISTA FOODS,112 N MAY ST ,2014-01-13T00:00:00.000,2
Madison Street Cafe,70 W MADISON ST ,2014-01-14T00:00:00.000,4
POTBELLY SANDWICH WORKS # 100,209 S LA SALLE ST ,2014-01-17T00:00:00.000,5
CALIENTE,201 N CLARK ST ,2014-01-21T00:00:00.000,1
PANERA BREAD #987,1101 S CANAL ST ,2014-01-21T00:00:00.000,5
ROOM 12,1152 S WABASH AVE ,2014-01-23T00:00:00.000,4
CAFFE BACI,10 S RIVERSIDE PLZ ,2014-01-23T00:00:00.000,4
FULTON MARKET KITCHEN,311 N SANGAMON ST ,2014-01-30T00:00:00.000,6
FULTON MARKET KITCHEN,311 N SANGAMON ST ,2014-01-30T00:00:00.000,6
ZAPATISTA,1307 S WABASH AVE ,2014-02-03T00:00:00.000,2
TOWN HOUSE RESTAURANT & WINE BAR,111 S WACKER DR ,2014-02-06T00:00:00.000,4
NEPAL HOUSE,1301 S Michigan AVE ,2014-02-06T00:00:00.000,4
FLAVOR 180,1511 S STATE ST ,2014-02-07T00:00:00.000,1
SUBWAY,1232 S CANAL ST ,2014-02-07T00:00:00.000,6
LEMON TREE EXPRESS,176 N WELLS ST ,2014-02-14T00:00:00.000,2
JIM'S ORIGINAL,1250 S UNION AVE ,2014-02-19T00:00:00.000,4
VIAGGIO,1330 W MADISON ST ,2014-02-20T00:00:00.000,4
BLACKWOOD BBQ,945 W RANDOLPH ST ,2014-02-20T00:00:00.000,4
ROTI,10 S RIVERSIDE PLZ ,2014-02-20T00:00:00.000,4
ROTI,10 S RIVERSIDE PLZ ,2014-02-21T00:00:00.000,4
JEWEL FOOD STORE #2500,1340 S CANAL ST ,2014-02-24T00:00:00.000,6
PAZZO'S,311 S WACKER DR ,2014-02-24T00:00:00.000,5
JEWEL FOOD  STORE # 3345,1224 S WABASH AVE ,2014-02-24T00:00:00.000,6
POTBELLY SANDWICH WORKS LLC,1459 W TAYLOR ST ,2014-02-24T00:00:00.000,5
MARIANO'S FRESH MARKET #8503,333 E BENTON PL ,2014-02-24T00:00:00.000,5
NIU B,888 S MICHIGAN AVE ,2014-02-25T00:00:00.000,6
NIU B,888 S MICHIGAN AVE ,2014-02-25T00:00:00.000,6
TETE CHARCUTERIE,1110-1114 W RANDOLPH ST ,2014-02-25T00:00:00.000,2
TETE CHARCUTERIE,1110-1114 W RANDOLPH ST ,2014-02-25T00:00:00.000,2
TRADITION,160 N FRANKLIN ST ,2014-02-25T00:00:00.000,4
LITTTLE BRANCH CAFE, INC.,1251 S PRAIRIE AVE ,2014-02-25T00:00:00.000,-1
KHYBER PASS,233 E WACKER DR ,2014-02-25T00:00:00.000,1
SOFI LLC,616 S DEARBORN ST ,2014-02-27T00:00:00.000,5
CORPORATE CONCIERGE SERVICES, INC.,210 S CANAL ST ,2014-02-27T00:00:00.000,4
TETE CHARCUTERIE,1110-1114 W RANDOLPH ST ,2014-02-27T00:00:00.000,2
LEONA'S PIZZERIA,1419 W TAYLOR ST ,2014-03-05T00:00:00.000,2
TETE CHARCUTERIE,1110-1114 W RANDOLPH ST ,2014-03-11T00:00:00.000,2
ATINO'S PIZZA # 2 INC,570-572 W ROOSEVELT RD ,2014-03-11T00:00:00.000,4
TETE CHARCUTERIE,1110-1114 W RANDOLPH ST ,2014-03-11T00:00:00.000,2
HONG KONG DELIGHT III, INC,1238 S CANAL ST ,2014-03-13T00:00:00.000,2
HALSTED STREET DELI,222 N LA SALLE ST ,2014-03-13T00:00:00.000,5
FRESHII,311 S WACKER DR ,2014-03-13T00:00:00.000,5
SOFIA'S PIZZA,1132 W TAYLOR ST ,2014-03-14T00:00:00.000,0
WHITE PALACE GRILL,1159 S CANAL ST ,2014-03-14T00:00:00.000,4
GREYHOUND LINES INC,630 W HARRISON ST ,2014-03-18T00:00:00.000,4
HONG KONG DELIGHT III, INC,1238 S CANAL ST ,2014-03-18T00:00:00.000,2
SOPRAFFINA MARKETCAFFE,222 W ADAMS ST ,2014-03-20T00:00:00.000,4
THAI BOWL,1049 W TAYLOR ST ,2014-03-21T00:00:00.000,4
LOBBY SHOP,332 S MICHIGAN AVE ,2014-03-24T00:00:00.000,6
LITTLE GOAT DINER,818-822 W RANDOLPH ST ,2014-03-24T00:00:00.000,4
LITTLE GOAT DINER,818-822 W RANDOLPH ST ,2014-03-25T00:00:00.000,4
HAIFA CAFE,19 N WELLS ST ,2014-03-28T00:00:00.000,-2
AL'S BEEF,234 S WABASH AVE ,2014-04-01T00:00:00.000,4
BACCI PIZZA,22 E ROOSEVELT RD ,2014-04-02T00:00:00.000,4
BUTTERFIELD KITCHEN,22 E ROOSEVELT RD ,2014-04-02T00:00:00.000,1
WHOLLY INNOCENTS DAYCARE CENTER.,34 N Sangamon ST ,2014-04-02T00:00:00.000,4
HAIFA CAFE,19 N WELLS ST ,2014-04-02T00:00:00.000,-2
WHOLLY INNOCENTS DAYCARE CENTER.,34 N Sangamon ST ,2014-04-02T00:00:00.000,4
BUTTERFIELD KITCHEN,22 E ROOSEVELT RD ,2014-04-04T00:00:00.000,1
PEREZ MEXICAN FOOD,853-855 W RANDOLPH ST ,2014-04-04T00:00:00.000,4
SUBWAY #7706,335 S FRANKLIN ST ,2014-04-08T00:00:00.000,-6
SUBWAY,335 S FRANKLIN ST ,2014-04-08T00:00:00.000,6
KCG OF CHICAGO UNION STATION,225 S CANAL ST ,2014-04-09T00:00:00.000,4
ARGO TEA,16 W RANDOLPH ST ,2014-04-11T00:00:00.000,6
MONTESSORI ACADEMY OF CHICAGO I, LLC,1335 W RANDOLPH ST ,2014-04-11T00:00:00.000,4
McDONALD'S,225 S CANAL ST ,2014-04-15T00:00:00.000,6
CORPORATE CONCIERGE SERVICES, INC.,210 S CANAL ST ,2014-04-17T00:00:00.000,4
BRASSERIE BY LM,800 S MICHIGAN AVE ,2014-04-18T00:00:00.000,3
AL'S BEEF,234 S WABASH AVE ,2014-04-18T00:00:00.000,4
HELLO TACOS! DE CERO,812-816 W RANDOLPH ST ,2014-04-18T00:00:00.000,4
PITA EXPRESS,100 W RANDOLPH ST ,2014-04-21T00:00:00.000,4
PORKCHOP,555 S DEARBORN ST ,2014-04-22T00:00:00.000,4
McDONALD'S,225 S CANAL ST ,2014-04-22T00:00:00.000,6
LA COCINA MEXICAN GRILL, LLC,178 N FRANKLIN ST ,2014-04-22T00:00:00.000,6
EPIC BURGER,517 S STATE ST ,2014-04-23T00:00:00.000,4
LA COCINA MEXICAN GRILL, LLC,178 N FRANKLIN ST ,2014-04-28T00:00:00.000,6
TAVERN AT THE PARK,130 E RANDOLPH ST ,2014-04-28T00:00:00.000,4
POTBELLY SANDWICH WORKS LLC,55 E JACKSON BLVD ,2014-04-28T00:00:00.000,5
IT TAKES A VILLAGE AT RIVER CITY,800 S WELLS ST ,2014-04-28T00:00:00.000,4
THE LITTLE GREEN TREEHOUSE,118-130 S ASHLAND AVE ,2014-04-29T00:00:00.000,4
THE LITTLE GREEN TREEHOUSE,118 S ASHLAND ,2014-04-29T00:00:00.000,4
PITA EXPRESS,100 W RANDOLPH ST ,2014-04-29T00:00:00.000,4
LA LUCE,1393 W LAKE ST ,2014-04-29T00:00:00.000,2
HAUTE SAUSAGE,337 S FRANKLIN ST ,2014-05-01T00:00:00.000,1
ARAMARK NUVEEN INVESTMENTS CAFE,333 W WACKER DR ,2014-05-02T00:00:00.000,5
SEVEN,400 E RANDOLPH ST ,2014-05-07T00:00:00.000,4
HACKNEY'S PRINTERS' ROW,731 - 733 S DEARBORN ST ,2014-05-08T00:00:00.000,4
JTA SCHOOLS,80 W HARRISON ST ,2014-05-08T00:00:00.000,3
CHILANGO,1437 W TAYLOR ST ,2014-05-08T00:00:00.000,4
MICHAEL'S WINE & SPIRITS,1455 W TAYLOR ,2014-05-08T00:00:00.000,6
MARKET CREATIONS,233 S WACKER DR ,2014-05-12T00:00:00.000,6
RUSTLE & ROUX,227 W MONROE ST ,2014-05-13T00:00:00.000,6
KRAMERS HEALTH FOODS,230 S WABASH AVE ,2014-05-13T00:00:00.000,4
GATEWAY NEWSTAND,190 S LA SALLE ST ,2014-05-13T00:00:00.000,6
RUSTLE & ROUX,227 W MONROE ST ,2014-05-13T00:00:00.000,6
URBAN PANTRY,730 S CLARK ST ,2014-05-14T00:00:00.000,5
PRET A MANGER,211 W ADAMS ST ,2014-05-14T00:00:00.000,4
FRENCH ACCENT,233 S WACKER DR ,2014-05-16T00:00:00.000,2
I DREAM OF FALAFEL,243 S WABASH AVE ,2014-05-16T00:00:00.000,6
INTERCULTURAL MONTESSORI LANGUAGE SCHOOL,114 S RACINE AVE ,2014-05-16T00:00:00.000,4
CHIPOTLE,1132 S CLINTON ST ,2014-05-19T00:00:00.000,5
BLACKSTONE HOTEL,636 S MICHIGAN AVE ,2014-05-19T00:00:00.000,4
INTERCULTURAL MONTESSORI LANGUAGE SCHOOL,114 S RACINE AVE ,2014-05-20T00:00:00.000,4
PLYMOUTH RESTAURANT,327 S PLYMOUTH CT ,2014-05-20T00:00:00.000,6
JAMBA JUICE,1322 S HALSTED ST ,2014-05-23T00:00:00.000,1
BUCK'S FOUR STAR GRILL,301 S COLUMBUS DR ,2014-05-27T00:00:00.000,4
SALSERIA GRILL & CANTINA,233 S WACKER DR ,2014-05-27T00:00:00.000,2
BUCK'S FOUR STAR GRILL,301 S COLUMBUS DR ,2014-05-27T00:00:00.000,4
ARAMARK,1300 S LYNN WHITE DR ,2014-05-27T00:00:00.000,2
SEVEN,400 E RANDOLPH ST ,2014-05-28T00:00:00.000,4
CORPORATE CONCIERGE SERVICES, INC.,210 S CANAL ST ,2014-05-30T00:00:00.000,4
MARKET THYME,200 E RANDOLPH ST ,2014-06-04T00:00:00.000,4
ROTI MEDITERRANEAN GRILL,33 N DEARBORN ST ,2014-06-04T00:00:00.000,4
CITY WINERY CHICAGO,1200-1212 W RANDOLPH ST ,2014-06-05T00:00:00.000,5
BURGER KING,100 W RANDOLPH ST ,2014-06-06T00:00:00.000,5
WHITE PALACE GRILL,1159 S CANAL ST ,2014-06-06T00:00:00.000,4
MONK'S PUB,205-207 W LAKE ST ,2014-06-09T00:00:00.000,4
COSI,233 N MICHIGAN AVE ,2014-06-10T00:00:00.000,4
GREEN APPLE CAFE & JUICE BAR,200 E RANDOLPH ST ,2014-06-10T00:00:00.000,4
SPECIALTY'S CAFE BAKERY,191 N WACKER DR ,2014-06-10T00:00:00.000,4
RIVERS,30 S WACKER DR ,2014-06-11T00:00:00.000,4
AU BON PAIN,2 N RIVERSIDE PLZ ,2014-06-11T00:00:00.000,4
STARBUCKS COFFEE #2230,68 E MADISON ST ,2014-06-11T00:00:00.000,3
VIVO RESTAURANT,838 W RANDOLPH ST ,2014-06-12T00:00:00.000,-4
MA&I,1234 S MICHIGAN AVE ,2014-06-16T00:00:00.000,2
PARLOR PIZZA BAR,108 N GREEN ST ,2014-06-17T00:00:00.000,4
TESORI,220 S MICHIGAN AVE ,2014-06-17T00:00:00.000,4
PARLOR PIZZA BAR,108 N GREEN ST ,2014-06-17T00:00:00.000,4
HALO ASIAN MIX,29 E ADAMS ST ,2014-06-17T00:00:00.000,1
TACO FRESCO,23 E ADAMS ST ,2014-06-17T00:00:00.000,4
TACO FRESCO,180 N WELLS ST ,2014-06-18T00:00:00.000,4
PARLOR PIZZA BAR,108 N GREEN ST ,2014-06-18T00:00:00.000,4
VINTAGE LOUNGE,1447-1449 W TAYLOR ST ,2014-06-18T00:00:00.000,5
VINTAGE LOUNGE,1447-1449 W TAYLOR ST ,2014-06-18T00:00:00.000,5
VINTAGE LOUNGE,1447-1449 W TAYLOR ST ,2014-06-18T00:00:00.000,5
HALSTED STREET DELI,400 S LA SALLE ST ,2014-06-19T00:00:00.000,5
HONG KONG DELIGHT III, INC,1238 S CANAL ST ,2014-06-19T00:00:00.000,2
DOMINO'S PIZZA,1234 S CANAL ST ,2014-06-19T00:00:00.000,0
TACO FRESCO,180 N WELLS ST ,2014-06-20T00:00:00.000,4
MACY'S,111 N STATE ST ,2014-06-20T00:00:00.000,6
BAR LOUIE,47 W POLK ST ,2014-06-23T00:00:00.000,5
THAI WOK,1104 W TAYLOR ST ,2014-06-23T00:00:00.000,2
TACO FRESCO,180 N WELLS ST ,2014-06-24T00:00:00.000,4
GREEN MONKEY INC.,1325 S STATE ST ,2014-06-25T00:00:00.000,4
BAR LOUIE,47 W POLK ST ,2014-06-26T00:00:00.000,5
MARKET CREATIONS,130 E RANDOLPH ST ,2014-06-27T00:00:00.000,6
BURNHAM PARK YACHT CLUB,1500 S LYNN WHITE DR ,2014-06-27T00:00:00.000,4
VINTAGE LOUNGE,1447-1449 W TAYLOR ST ,2014-06-30T00:00:00.000,5
VINTAGE LOUNGE,1447-1449 W TAYLOR ST ,2014-06-30T00:00:00.000,5
DIZA HOSPITALITY GROUP, LLC ATRIUM CHICKEN,100 W RANDOLPH ST ,2014-07-02T00:00:00.000,4
BOMBON CAKE GALLERY AND DESIGN,36 S ASHLAND ,2014-07-02T00:00:00.000,5
THE MARQ,60 W ADAMS ST ,2014-07-08T00:00:00.000,4
AMERITALIA,1303 S MICHIGAN AVE ,2014-07-08T00:00:00.000,2
HAWKEYE'S BAR & GRILL INC,1458 W TAYLOR ST ,2014-07-11T00:00:00.000,4
CORNER BAKERY CAFE,35 E MONROE ST ,2014-07-14T00:00:00.000,4
CHICAGO CURRY HOUSE,899 S PLYMOUTH CT ,2014-07-14T00:00:00.000,4
CARMS SNACK SHOP,1057 W POLK ST ,2014-07-15T00:00:00.000,6
CHICAGO CURRY HOUSE,899 S PLYMOUTH CT ,2014-07-16T00:00:00.000,4
TAJ MAHAL,1512 W TAYLOR ST ,2014-07-16T00:00:00.000,5
POMPEI BAKERY,1531 W TAYLOR ST ,2014-07-17T00:00:00.000,4
HALSTED STREET DELI,128 S FRANKLIN ST ,2014-07-17T00:00:00.000,5
GLORIA JEANS COFFEE,79 E MADISON ST ,2014-07-18T00:00:00.000,-11
AU BON PAIN,200 W ADAMS ST ,2014-07-18T00:00:00.000,4
PERRY'S DELI,174 N FRANKLIN ST ,2014-07-18T00:00:00.000,2
TOKYO LUNCH BOXES & CATERING,100 W RANDOLPH ST ,2014-07-21T00:00:00.000,4
PIEROGI HEAVEN, INC.,169 N WELLS ST ,2014-07-22T00:00:00.000,4
BAR TAKITO,952 W LAKE ST ,2014-07-22T00:00:00.000,4
BAR TAKITO,952 W LAKE ST ,2014-07-22T00:00:00.000,4
KURAH,1355 S MICHIGAN AVE ,2014-07-23T00:00:00.000,5
GOODWIN'S,333 W WACKER DR ,2014-07-25T00:00:00.000,0
TAJ MAHAL,1512 W TAYLOR ST ,2014-07-25T00:00:00.000,5
AU BON PAIN,200 W ADAMS ST ,2014-07-25T00:00:00.000,4
GOODWIN'S,333 W WACKER DR ,2014-07-25T00:00:00.000,0
CEMITAS PUEBLA,817 W FULTON MARKET ,2014-07-29T00:00:00.000,4
CEMITAS PUEBLA,817 W FULTON MARKET ,2014-07-29T00:00:00.000,4
K-KITCHEN,201 N CLARK ST ,2014-07-29T00:00:00.000,1
BIG G'S PIZZA,1132 W TAYLOR ST ,2014-07-31T00:00:00.000,4
BIG G'S PIZZA,1132 W TAYLOR ST ,2014-08-01T00:00:00.000,4
COUSCOUS RESTARURANT,1445 W TAYLOR ST ,2014-08-01T00:00:00.000,4
WALGREENS #16085,100 W RANDOLPH ST ,2014-08-01T00:00:00.000,4
HALSTED STREET DELI,333 S State ST ,2014-08-05T00:00:00.000,5
POTTER'S,17 E MONROE ST ,2014-08-05T00:00:00.000,6
PROTEIN BAR,221 W WASHINGTON ST ,2014-08-05T00:00:00.000,6
FONTANO FOODS,1058 W POLK ST ,2014-08-05T00:00:00.000,4
BABA PITA,1032 W LAKE ST ,2014-08-06T00:00:00.000,2
BLUE PLATE CATERING LTD.,1061 W VAN BUREN ST ,2014-08-06T00:00:00.000,6
CHARTWELLS,525 S STATE ST ,2014-08-07T00:00:00.000,6
CHARTWELLS,525 S STATE ST ,2014-08-07T00:00:00.000,6
GLORIA JEANS COFFEE,79 E MADISON ST ,2014-08-07T00:00:00.000,-11
POTBELLY SANDWICH WORKS,409 W WASHINGTON ST ,2014-08-08T00:00:00.000,5
THE SALVATION ARMY,1515 W MONROE ST ,2014-08-11T00:00:00.000,2
LITTLE GOAT DINER,818-822 W RANDOLPH ST ,2014-08-11T00:00:00.000,4
SCAFURI BAKERY,1337 W TAYLOR ST ,2014-08-12T00:00:00.000,-6
CHARTWELLS,525 S STATE ST ,2014-08-12T00:00:00.000,6
CHARTWELLS,525 S STATE ST ,2014-08-12T00:00:00.000,6
OLD FIFTH,1027 W MADISON ST ,2014-08-14T00:00:00.000,3
RUSSIAN TEA TIME,77 E ADAMS ST ,2014-08-14T00:00:00.000,6
ONE NORTH,1 N WACKER DR ,2014-08-14T00:00:00.000,4
VICE DISTRICT TAPROOM,1454 S MICHIGAN AVE ,2014-08-19T00:00:00.000,4
CHIPOTLE,1132 S CLINTON ST ,2014-08-19T00:00:00.000,5
VICE DISTRICT TAPROOM,1454 S MICHIGAN AVE ,2014-08-19T00:00:00.000,4
GLORIA JEANS COFFEE,79 E MADISON ST ,2014-08-21T00:00:00.000,-11
KOHAN JAPANESE RESTAURANT,730-732 W MAXWELL ST ,2014-08-21T00:00:00.000,4
MEADOWBROOK EGG CO. INC.,1100 W FULTON MARKET ,2014-08-22T00:00:00.000,2
MAX'S TAKE OUT,20 E ADAMS ST ,2014-08-25T00:00:00.000,6
VICE DISTRICT TAPROOM,1454 S MICHIGAN AVE ,2014-08-26T00:00:00.000,4
VICE DISTRICT TAPROOM,1454 S MICHIGAN AVE ,2014-08-26T00:00:00.000,4
DAVIDsTEA,151 N MICHIGAN AVE ,2014-08-29T00:00:00.000,4
EUREST DINING SERVICES,801 S CANAL ST ,2014-08-29T00:00:00.000,6
NEXT RESTAURANT,953-955 W FULTON MARKET ,2014-09-03T00:00:00.000,5
WHOLE FOODS MARKET,1101 S CANAL ST ,2014-09-04T00:00:00.000,5
CHICAGO YACHT CLUB,400 E MONROE DR ,2014-09-05T00:00:00.000,4
